Ticker;Name;Type;Theoretical Qty;Weight (%)
ROKU;Roku Inc.;Common Stock;1000;10
DOCU;DocuSign Inc.;Common Stock;1000;10
SNAP;Snap Inc.;Common Stock;1000;10
ETSY;Etsy Inc.;Common Stock;1000;10
TWLO;Twilio Inc.;Common Stock;1000;10
NET;Cloudflare Inc.;Common Stock;1000;10
PINS;Pinterest Inc.;Common Stock;1000;10
UBER;Uber Technologies Inc.;Common Stock;1000;10
XYZ;Block, Inc.;Common Stock;1000;10
COIN;Coinbase Global Inc.;Common Stock;1000;10
